cluster,lat,lon,poi_count,cluster_area_km2,education,healthcare,leisure,other,religion,retail,transport,work,cluster_poi_density
174,54.711350679999995,25.24031102,5,0.014437458971056211,0,0,0,0,0,1,4,0,346.32133050724866
171,54.67697924,25.30865934,5,0.005,0,0,1,0,0,1,3,0,1000.0
173,54.667027159999996,25.284626879999998,5,0.01184780720803861,0,0,1,0,0,2,2,0,422.01902109004214
185,54.720263339999995,25.31637574,5,0.005446264121040884,0,1,0,0,0,1,3,0,918.0605069598435
198,54.71324812,25.21225898,5,0.005220569235549699,2,0,0,0,0,0,3,0,957.7499644966447
191,54.70569664,25.24206174,5,0.005,0,0,0,0,0,0,5,0,1000.0
32,54.712394259999996,25.41446018,5,0.005078678183269538,0,0,2,0,0,2,1,0,984.5081376629211
168,54.7001759,25.244298980000003,5,0.005,0,0,1,0,0,2,1,1,1000.0
58,54.74904136,25.206755859999998,5,0.010963660214557315,0,0,0,0,0,3,2,0,456.0520758716242
77,54.724232140000005,25.24968044,5,0.005,0,0,2,0,0,2,0,1,1000.0
66,54.707815800000006,25.33641644,5,0.025463108862534462,3,0,0,0,0,0,2,0,196.36251123117285
65,54.710693979999995,25.394791140000002,5,0.01655830061930841,0,0,0,0,0,0,5,0,301.9633545105207
64,54.685941279999994,25.32390078,5,0.006120365163231595,3,0,1,0,0,0,1,0,816.9447192526607
112,54.64241938,25.27360402,5,0.005100534617851832,0,0,1,0,0,0,4,0,980.2893960370426
63,54.714959799999995,25.13818078,5,0.005,0,0,1,0,0,3,1,0,1000.0
118,54.681869840000005,25.25063284,5,0.005,0,0,2,0,0,1,2,0,1000.0
62,54.696416299999996,25.38141968,5,0.0058428149662155095,0,0,0,0,0,0,3,2,855.7518985131554
61,54.68111268,25.421616,5,0.03283423569299015,0,0,0,0,0,0,5,0,152.2800788406188
60,54.732470899999996,25.29799474,5,0.01399560481609621,0,0,1,1,0,0,3,0,357.25501439205743
167,54.64708068,25.27671474,5,0.005,0,0,0,1,0,0,4,0,1000.0
59,54.626868879999996,25.246667260000002,5,0.01775467250658118,0,0,1,0,0,1,2,1,281.61600830128714
55,54.75670230000001,25.36784948,5,0.005,1,0,0,0,0,1,3,0,1000.0
54,54.64337862,25.182718299999998,5,0.019222546465345127,0,0,0,0,0,0,2,3,260.1112193441239
134,54.65910718,25.27861076,5,0.005,0,0,2,0,0,0,3,0,1000.0
48,54.723862,25.19004876,5,0.023303463604351583,1,0,0,0,0,1,2,1,214.56037973111958
45,54.736662620000004,25.080256839999997,5,0.009698703915496624,1,0,0,0,0,3,1,0,515.532801451025
44,54.67770264000001,25.384596,5,0.005,0,1,0,1,0,2,1,0,1000.0
28,54.68300064,25.23549062,5,0.008789566965264395,0,0,4,0,0,0,1,0,568.8562382833609
157,54.677864899999996,25.31700012,5,0.007843230619856981,0,0,0,0,0,5,0,0,637.4924112700862
162,54.72827388,25.322309,5,0.005,0,0,0,0,0,0,2,3,1000.0
23,54.64846492,25.12223346,5,0.012131290963563576,0,0,1,0,0,0,4,0,412.157289361663
22,54.77991156,25.35990416,5,0.005,1,0,1,0,0,0,3,0,1000.0
201,54.723789120000006,25.32692428,5,0.013231931142955082,1,0,1,0,0,0,3,0,377.8737922666783
195,54.7053594,25.22009595,4,0.007041729867244902,2,0,0,0,0,0,2,0,568.0422389683364
130,54.64381336666667,25.2678421,3,0.005,0,0,0,0,0,0,1,2,600.0
199,54.63086403333333,25.2567008,3,0.005232264946962324,0,0,0,0,0,2,1,0,573.3654603522511
200,54.7143274,25.23152776666667,3,0.005,0,0,0,0,0,0,3,0,600.0
